x, y
1.015971275812789, 0.016367315853730736
1.0910287592918388, 0.014962976067280968
1.1780045900550122, 0.013683662359650767
1.2706849403046683, 0.012736050248319324
1.376485391156822, 0.011616313626360873
1.4972747472452128, 0.010755314442892974
1.6237721488531347, 0.009838465239619575
1.7611458752652351, 0.009147538448883519
1.9272490215981506, 0.008505602972247533
2.1096980383076187, 0.00782533172988032
2.290395199591212, 0.007379335604372877
2.536616556882399, 0.006949161266715516
2.7951588509632277, 0.006495474537787768
3.091655159649005, 0.006198063962003586
3.4339589298192617, 0.005909375628829985
3.821544436689033, 0.005751033061858105
4.316160868514338, 0.005542816744327996
4.759148068124502, 0.00552509775603184
5.324543693172295, 0.00552509775603184
5.987905722784664, 0.0055422047998221905
6.6562389886312054, 0.005708016966417714
