x, y
1.0384815768051807, 0.1749312574158421
1.1384424657475885, 0.17848196631938246
1.2597438743988003, 0.18528891430447328
1.3948687536198006, 0.19190998810483875
1.55865503151425, 0.20057538350803547
1.7173350092142512, 0.20270145629156144
1.9063492913537337, 0.2148931087348251
2.158991125926284, 0.22219148088533267
2.3990622766003207, 0.2327247025076088
2.665255688284174, 0.24076156039798652
2.9559002608092464, 0.2502889179214533
3.2694472049735284, 0.2593185670152991
3.684087886419389, 0.2682145776255809
4.134180798929692, 0.2781364912970211
4.550662207879945, 0.2886325065856996
5.030940839986984, 0.29924364358746797
5.6866673286646545, 0.3138278206470652
6.280427737373745, 0.32280681853185367
6.981035537825257, 0.33469279844092564
7.8448714470988685, 0.3466335018692551
8.69707950072996, 0.35995275729332404
9.685985923101931, 0.37045589841177473
10.854174971467232, 0.38160242372000447
